V_A,V_B,T_B
5.0,1.0,20.0
4.997835913978507,1.0021629181075575,20.150995705491415
4.987844477689205,1.0121187103989546,20.83562502051258
4.977863038597909,1.022015172498766,21.49964233399526
4.96789159670462,1.031852835979642,22.14388888253625
4.957930152009338,1.0416322221855814,22.76916183209269
4.947978704512063,1.0513538425550035,23.376217092120964
4.938037254212794,1.0610181989297132,23.96577191824976
4.928105801111533,1.070625783850543,24.538507321718825
4.918184345208279,1.0801770808404025,25.095070302045517
4.908272886503031,1.0896725646754137,25.636075917802266
4.898371424995791,1.099112701644772,26.162109208977114
4.888479960686557,1.108497949799927,26.67372698312697
4.87859849357533,1.1178287591936422,27.171459476401992
4.86872702366211,1.1271055721094536,27.65581189950458
4.858865550946898,1.13632882328202,28.127265877734743
4.849014075429691,1.1454989401088238,28.58628079345355
4.839172597110492,1.154616342853653,29.033295038557977
4.8293411159893,1.1636814448422717,29.468727183894572
4.819519632066115,1.1726946526506572,29.892977071938507
4.809708145340936,1.1816563662861692,30.30642683852141
4.799906655813765,1.190566979361981,30.709441868900118
4.7901151634846,1.1994268792650973,31.102371693013552
4.7803336683534425,1.2082364473182552,31.485550824371515
4.770562170420292,1.2169960589359943,31.85929954665309
4.760800669685148,1.2257060837751605,32.22392465175977
4.751049166148011,1.2343668858800991,32.579720132766
4.741307659808881,1.2429788238227726,32.92696783493443
4.731576150667758,1.2515422508380307,33.26593806771248
4.721854638724642,1.2600575149542477,33.59689018039789
4.712143123979533,1.2685249591195245,33.92007310395223
4.70244160643243,1.2769449213236526,34.235725861250444
4.692750086083334,1.2853177347160172,34.54407804788027
4.683068562932246,1.2936437277196131,34.845350285445306
4.673397036979164,1.301923224141337,35.13975464917963
4.663735508224089,1.3101565432787103,35.427495071547554
4.654083976667022,1.3183440000231799,35.70876772337913
4.644442442307961,1.326485904960137,35.983761373979
4.634810905146907,1.3345825644657863,36.252657731542484
4.62518936518386,1.342634280800992,36.51563176511714
4.615577822418819,1.3506413522022216,36.772852009260326
4.605976276851786,1.3586040729697013,37.024480852462176
4.59638472848276,1.3665227335528907,37.27067481032898
4.58680317731174,1.3743976206333832,37.51158478445293
4.577231623338728,1.38222901720533,37.7473563078309
4.567670066563721,1.3900172026534796,37.97812977763602
4.558118506986722,1.3977624528289276,38.20404067609176
4.54857694460773,1.4054650401226583,38.42521978014793
4.539045379426745,1.413125233536961,38.64179336061171
4.529523811443767,1.4207432987548028,38.8538833713437
4.5200122406587955,1.428319498207226,39.061607629089195
4.510510667071831,1.4358540911388489,39.26507998447794
4.501019090682873,1.4433473336715321,39.464410484691335
4.491537511491923,1.4507994788662804,39.65970552826413
4.482065929498979,1.4582107767834387,39.851068012458306
4.472604344704042,1.4655814745412459,40.038597473619014
4.463152757107112,1.4729118163728003,40.22239022089727
4.453711166708189,1.4802020436814938,40.40253946369992
4.444279573507273,1.4874523950949663,40.57913543320557
4.434857977504364,1.4946631065176315,40.75226549826428
4.425446378699461,1.5018344111818214,40.92201427597975
4.416044777092566,1.508966539697597,41.08846373725474
4.4066531726836775,1.5160597201012682,41.25169330756368
4.397271565472796,1.523114177902667,41.4117799632008
4.387899955459921,1.5301301361312134,41.56879832323766
4.3785383426450535,1.5371078153808158,41.72282073740999
4.369186727028192,1.5440474338536396,41.873917370141434
4.359845108609338,1.5509492074027855,42.022156280899424
4.350513487388492,1.5578133495739062,42.16760350106754
4.341191863365651,1.5646400716458009,42.31032310750814
4.331880236540818,1.5714295826700166,42.45037729297923
4.322578606913992,1.5781820895094871,42.58782643356043
4.313286974485172,1.5848977968762405,42.72272915323417
4.30400533925436,1.5915769073682042,42.855142385760374
4.2947337012215545,1.5982196215051332,42.98512143397504
4.2854720603867555,1.6048261377636912,43.11272002663627
4.276220416749964,1.6113966526117065,43.23799037293441
4.266978770311179,1.6179313605416306,43.36098321477688
4.257747121070401,1.6244304541032217,43.48174787695211
4.24852546902763,1.6308941239354764,43.60033231527176
4.239313814182866,1.6373225587978306,43.71678316278486
4.230112156536109,1.6437159456006531,43.83114577415292
4.220920496087358,1.6500744694350507,43.94346426827007
4.211738832836615,1.6563983136020048,44.05378156920819
4.202567166783878,1.6626876596408602,44.162139445562865
4.193405497929149,1.6689426873571815,44.268578548271954
4.1842538262724265,1.675163574849999,44.373138446975084
4.17511215181371,1.681350498538456,44.47585766497885
4.165980474553002,1.6875036331878814,44.57677371288924
4.1568587944903,1.693623151935296,44.675923120969834
4.147747111625605,1.699709226314372,44.773341470281224
4.1386454259589165,1.7057620262798627,44.869063422654634
4.129553737490236,1.711781720231511,44.9631227495499
4.120472046219561,1.717768475037457,45.055552359845606
4.111400352146894,1.7237224560571536,45.146384326606864
4.102338655272233,1.729643827163805,45.23564991287411
4.0932869555955795,1.7355327507663432,45.323379596513995
4.084245253116933,1.741389387830949,45.40960309417176
4.075213547836293,1.7472138979021352,45.49434938436238
4.06619183975366,1.7530064391234002,45.57764672973626
4.057180128869034,1.7587671682574637,45.65952269855329
4.048178415182416,1.7644962407060971,45.74000418539777
4.039186698693803,1.7701938105295554,45.819117431165104
4.030204979403198,1.7758600304656245,45.89688804234961
4.0212332573106,1.7814950519482922,45.973341009661716
4.012271532416008,1.7870990251260508,46.04850072600133
4.003319804719424,1.792672098879844,46.122391003812965
3.994378074220846,1.798214420840663,46.19503509184718
3.9854463409202756,1.8037261374068048,46.26645569135166
3.976524604817712,1.8092073937607966,46.33667497171429
3.967612865913155,1.8146583338859985,46.40571458557957
3.958711124206605,1.8200791005828894,46.473595683458804
